date,open,high,low,close,volume,oi
2025-12-05 12:40:00,58.36264,58.36959,58.36264,58.36959,0,0
2025-12-05 12:41:00,58.36535,58.36923,58.34724,58.34724,0,0
2025-12-05 12:42:00,58.35408,58.35408,58.26231,58.30557,0,0
2025-12-05 12:43:00,58.29543,58.30514,58.25451,58.25451,0,0
2025-12-05 12:44:00,58.25302,58.25575,58.25302,58.25383,0,0
2025-12-05 12:45:00,58.25754,58.2942,58.25362,58.27746,0,0
2025-12-05 12:46:00,58.2744,58.2945,58.2744,58.2945,0,0
2025-12-05 12:47:00,58.2952,58.31047,58.29477,58.30863,0,0
2025-12-05 12:48:00,58.30792,58.31451,58.30792,58.31396,0,0
2025-12-05 12:49:00,58.31439,58.31476,58.30148,58.30564,0,0
2025-12-05 12:50:00,58.30059,58.30551,58.26955,58.26955,0,0
2025-12-05 12:51:00,58.26861,58.27072,58.26861,58.26943,0,0
2025-12-05 12:52:00,58.27517,58.32924,58.26745,58.29952,0,0
2025-12-05 12:53:00,58.29939,58.30083,58.28736,58.29269,0,0
2025-12-05 12:54:00,58.29543,58.3185,58.29232,58.30705,0,0
2025-12-05 12:55:00,58.30384,58.31806,58.30384,58.31806,0,0
2025-12-05 12:56:00,58.31807,58.31807,58.31602,58.31602,0,0
2025-12-05 12:57:00,58.3147,58.32018,58.3147,58.32018,0,0
2025-12-05 12:58:00,58.32035,58.32068,58.30916,58.31067,0,0
2025-12-05 12:59:00,58.31125,58.33216,58.31076,58.32599,0,0
2025-12-05 13:00:00,58.32945,58.32945,58.27217,58.29409,0,0
2025-12-05 13:01:00,58.27987,58.29384,58.20492,58.20492,0,0
2025-12-05 13:02:00,58.20389,58.20617,58.20389,58.20391,0,0
2025-12-05 13:03:00,58.20246,58.20348,58.19689,58.19689,0,0
2025-12-05 13:04:00,58.20368,58.20368,58.11026,58.15407,0,0
2025-12-05 13:05:00,58.15638,58.17574,58.15375,58.16669,0,0
2025-12-05 13:06:00,58.15888,58.21715,58.15888,58.21715,0,0
2025-12-05 13:07:00,58.21789,58.22581,58.21728,58.22445,0,0
2025-12-05 13:08:00,58.22369,58.22495,58.20596,58.20731,0,0
2025-12-05 13:09:00,58.2062,58.2269,58.2062,58.2269,0,0
2025-12-05 13:10:00,58.22478,58.22688,58.2116,58.2116,0,0
2025-12-05 13:11:00,58.21452,58.21452,58.16718,58.18687,0,0
2025-12-05 13:12:00,58.18883,58.20819,58.1865,58.19858,0,0
2025-12-05 13:13:00,58.19809,58.19989,58.19125,58.19415,0,0
2025-12-05 13:14:00,58.19103,58.19372,58.17812,58.17812,0,0
2025-12-05 13:15:00,58.17795,58.17932,58.16409,58.16993,0,0
2025-12-05 13:16:00,58.172,58.19136,58.16977,58.18352,0,0
2025-12-05 13:17:00,58.17995,58.21137,58.17995,58.21137,0,0
2025-12-05 13:18:00,58.21202,58.24605,58.21174,58.24416,0,0
2025-12-05 13:19:00,58.24329,58.2444,58.24195,58.24195,0,0
2025-12-05 13:20:00,58.24148,58.24284,58.24148,58.24279,0,0
2025-12-05 13:21:00,58.23617,58.24259,58.19926,58.19926,0,0
2025-12-05 13:22:00,58.20743,58.20743,58.09687,58.14646,0,0
2025-12-05 13:23:00,58.13889,58.14605,58.10794,58.10794,0,0
2025-12-05 13:24:00,58.09758,58.15246,58.09758,58.15246,0,0
2025-12-05 13:25:00,58.15226,58.15226,58.15078,58.15078,0,0
2025-12-05 13:26:00,58.15203,58.15203,58.11851,58.13217,0,0
2025-12-05 13:27:00,58.13935,58.24599,58.13222,58.20958,0,0
2025-12-05 13:28:00,58.20763,58.24435,58.20763,58.24435,0,0
2025-12-05 13:29:00,58.24428,58.24537,58.24428,58.24537,0,0
2025-12-05 13:30:00,58.24353,58.2454,58.23156,58.23156,0,0
2025-12-05 13:31:00,58.23529,58.23529,58.17577,58.19965,0,0
2025-12-05 13:32:00,58.20218,58.2281,58.19932,58.21509,0,0
2025-12-05 13:33:00,58.21494,58.21638,58.20462,58.20918,0,0
2025-12-05 13:34:00,58.21408,58.2577,58.20752,58.23391,0,0
2025-12-05 13:35:00,58.23242,58.23513,58.23242,58.23328,0,0
2025-12-05 13:36:00,58.23618,58.26495,58.2331,58.25257,0,0
2025-12-05 13:37:00,58.25194,58.2534,58.24157,58.24466,0,0
2025-12-05 13:38:00,58.24316,58.24492,58.20437,58.20437,0,0
2025-12-05 13:39:00,58.20302,58.20475,58.16381,58.16381,0,0
2025-12-05 13:40:00,58.16435,58.16456,58.14802,58.15277,0,0
2025-12-05 13:41:00,58.16239,58.28105,58.15261,58.22677,0,0
2025-12-05 13:42:00,58.22397,58.2376,58.22397,58.2376,0,0
2025-12-05 13:43:00,58.23642,58.23718,58.23216,58.23216,0,0
